                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.86431,                0.76898,                 1.2413,                0.87873,                0.85805,                0.91104,                0.68541,                0.76418,                0.66435,                 1.1793,               0.003895,               0.003895,               0.003895
                     77,                0.86563,                0.76507,                 1.2398,                0.86179,                0.86386,                0.90986,                 0.6864,                0.76571,                0.60737,                 1.1837,              0.0038125,              0.0038125,              0.0038125
                     78,                0.84565,                0.74966,                 1.2269,                0.87277,                0.84867,                0.91412,                0.68938,                0.76663,                0.67164,                 1.1861,                0.00373,                0.00373,                0.00373
                     79,                0.84495,                0.75038,                 1.2257,                0.86509,                0.86964,                0.91719,                0.69332,                0.77183,                0.71376,                 1.1888,              0.0036475,              0.0036475,              0.0036475
                     80,                0.84968,                0.74776,                 1.2291,                 0.8657,                 0.8746,                0.91983,                0.69085,                0.76595,                 0.6284,                 1.1825,               0.003565,               0.003565,               0.003565
                     81,                0.84229,                0.74106,                 1.2317,                0.87075,                0.88207,                 0.9222,                0.69557,                0.76676,                0.61585,                 1.1829,              0.0034825,              0.0034825,              0.0034825
                     82,                0.84036,                0.73457,                 1.2247,                0.86209,                0.89891,                0.91994,                0.70187,                0.76001,                0.60145,                 1.1762,                 0.0034,                 0.0034,                 0.0034
                     83,                0.84262,                0.73624,                 1.2288,                 0.8527,                0.90543,                0.92198,                0.70145,                0.75999,                0.58393,                 1.1764,              0.0033175,              0.0033175,              0.0033175
                     84,                0.82651,                0.72778,                 1.2156,                0.87798,                 0.8699,                0.91468,                0.69973,                0.75646,                0.59016,                 1.1752,               0.003235,               0.003235,               0.003235
                     85,                0.82821,                0.71393,                 1.2135,                0.86601,                0.88175,                0.91618,                0.69767,                0.75975,                0.58926,                 1.1807,              0.0031525,              0.0031525,              0.0031525
                     86,                0.83164,                0.72935,                  1.215,                0.86355,                0.87453,                0.91284,                0.69549,                0.75601,                0.59591,                 1.1747,                0.00307,                0.00307,                0.00307
                     87,                  0.828,                0.71442,                  1.211,                0.86405,                0.86938,                0.91482,                0.69721,                0.75659,                0.59755,                  1.176,              0.0029875,              0.0029875,              0.0029875
                     88,                0.81851,                0.70385,                 1.2132,                0.85695,                0.88346,                0.91397,                0.69762,                0.76153,                0.58666,                 1.1801,               0.002905,               0.002905,               0.002905
                     89,                0.81594,                0.70907,                 1.2076,                0.87795,                0.86923,                0.91642,                    0.7,                0.75923,                0.59349,                  1.177,              0.0028225,              0.0028225,              0.0028225
                     90,                0.80717,                0.70441,                 1.2054,                0.89041,                0.87053,                0.91497,                0.70022,                0.75369,                0.59678,                 1.1712,                0.00274,                0.00274,                0.00274
                     91,                0.81438,                0.70633,                  1.211,                0.86963,                0.87974,                0.91488,                0.70168,                0.75349,                0.58864,                 1.1705,              0.0026575,              0.0026575,              0.0026575
                     92,                0.80435,                0.69144,                 1.2022,                0.87506,                0.88377,                0.91426,                0.69734,                0.75885,                0.59096,                 1.1745,               0.002575,               0.002575,               0.002575
                     93,                0.79928,                0.69189,                  1.204,                0.85491,                0.89949,                0.91448,                0.69974,                0.75289,                0.59508,                 1.1709,              0.0024925,              0.0024925,              0.0024925
                     94,                 0.7986,                0.69059,                 1.2015,                0.87943,                0.87486,                0.91627,                0.70128,                0.74845,                0.60333,                 1.1687,                0.00241,                0.00241,                0.00241
                     95,                0.78745,                0.66774,                 1.1908,                0.87054,                0.87813,                 0.9169,                 0.7017,                0.74995,                0.59605,                 1.1706,              0.0023275,              0.0023275,              0.0023275
                     96,                0.79007,                  0.668,                 1.1916,                0.84805,                0.89995,                0.91906,                0.70416,                0.75028,                0.59196,                 1.1714,               0.002245,               0.002245,               0.002245
                     97,                0.78905,                0.67154,                 1.1879,                0.86799,                0.88258,                0.92067,                0.70775,                0.74881,                0.58915,                 1.1717,              0.0021625,              0.0021625,              0.0021625
                     98,                0.78915,                0.66984,                 1.1887,                0.86237,                0.88636,                0.91934,                0.70624,                0.75034,                0.58297,                 1.1738,                0.00208,                0.00208,                0.00208
                     99,                 0.7744,                0.65559,                 1.1779,                0.87181,                0.87873,                0.91928,                0.70809,                 0.7517,                0.57394,                 1.1774,              0.0019975,              0.0019975,              0.0019975
                    100,                0.77853,                0.65495,                 1.1834,                0.88968,                0.86749,                0.92041,                0.70746,                0.75099,                0.57452,                  1.176,               0.001915,               0.001915,               0.001915
                    101,                0.77669,                0.66165,                 1.1869,                0.89333,                0.86396,                0.92082,                0.70967,                0.74984,                0.57432,                 1.1757,              0.0018325,              0.0018325,              0.0018325
                    102,                0.76963,                0.64856,                 1.1788,                0.88913,                 0.8647,                0.92163,                0.70953,                0.74807,                0.58058,                 1.1749,                0.00175,                0.00175,                0.00175
                    103,                 0.7674,                0.64696,                  1.181,                0.87741,                0.87164,                0.92318,                0.70919,                0.74685,                0.57952,                 1.1741,              0.0016675,              0.0016675,              0.0016675
                    104,                0.76631,                0.64605,                 1.1751,                0.88128,                0.87045,                0.92357,                0.71078,                0.74884,                0.58224,                 1.1765,               0.001585,               0.001585,               0.001585
                    105,                  0.761,                0.63507,                 1.1733,                0.89504,                0.85926,                0.92642,                0.70873,                0.74893,                0.58701,                 1.1757,              0.0015025,              0.0015025,              0.0015025
                    106,                0.75452,                0.62957,                 1.1726,                0.89679,                0.86043,                0.92833,                0.71077,                0.74796,                0.58721,                 1.1756,                0.00142,                0.00142,                0.00142
                    107,                0.75288,                0.62394,                 1.1705,                0.86974,                0.89208,                0.92857,                0.71345,                0.74626,                0.58094,                 1.1735,              0.0013375,              0.0013375,              0.0013375
                    108,                0.74691,                 0.6206,                 1.1612,                 0.8805,                 0.8858,                0.92866,                0.71313,                0.74516,                0.58293,                  1.173,               0.001255,               0.001255,               0.001255
                    109,                0.74753,                0.61453,                 1.1623,                0.87289,                0.89232,                0.92842,                0.71241,                0.74404,                0.58715,                 1.1717,              0.0011725,              0.0011725,              0.0011725
                    110,                0.74117,                 0.6191,                 1.1612,                0.86791,                0.89542,                0.92784,                0.71033,                0.74431,                 0.5879,                 1.1727,                0.00109,                0.00109,                0.00109
                    111,                0.60704,                0.42672,                 1.1064,                0.86523,                0.89384,                 0.9266,                0.71151,                 0.7422,                0.59159,                 1.1707,              0.0010075,              0.0010075,              0.0010075
                    112,                0.58767,                0.40853,                 1.0873,                 0.8869,                0.87604,                0.92731,                0.71213,                0.74118,                0.59055,                 1.1695,               0.000925,               0.000925,               0.000925
                    113,                0.57352,                0.39892,                 1.0792,                0.90035,                0.86078,                0.92378,                0.71145,                0.73938,                 0.5907,                 1.1678,              0.0008425,              0.0008425,              0.0008425
                    114,                0.56901,                0.39117,                  1.075,                0.89883,                0.86286,                0.92333,                0.71319,                0.73646,                0.59011,                 1.1654,                0.00076,                0.00076,                0.00076
                    115,                0.56762,                0.38422,                 1.0714,                0.89737,                0.86226,                 0.9226,                 0.7157,                0.73456,                 0.5895,                 1.1639,              0.0006775,              0.0006775,              0.0006775
                    116,                0.55539,                0.37718,                 1.0612,                0.89735,                0.86335,                0.92173,                0.71556,                0.73356,                0.58703,                 1.1634,               0.000595,               0.000595,               0.000595
                    117,                0.55581,                 0.3765,                 1.0655,                0.89668,                 0.8651,                0.92147,                0.71623,                0.73251,                0.58554,                 1.1632,              0.0005125,              0.0005125,              0.0005125
                    118,                0.54729,                0.37206,                 1.0553,                0.89404,                0.86601,                0.92029,                0.71757,                0.73062,                0.58329,                 1.1624,                0.00043,                0.00043,                0.00043
                    119,                0.54159,                0.37022,                 1.0546,                0.89558,                0.86484,                0.92021,                0.71687,                 0.7291,                0.58303,                 1.1622,              0.0003475,              0.0003475,              0.0003475
                    120,                0.53832,                0.36491,                 1.0516,                0.89806,                0.86567,                0.92112,                0.71676,                0.72773,                0.58533,                 1.1621,               0.000265,               0.000265,               0.000265
