epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,7586.28,0.79378,0.63622,1.19019,0.88198,0.88802,0.92875,0.74042,0.66956,0.59505,1.11437,0.00604,0.00604,0.00604
62,7710.58,0.78532,0.63283,1.19242,0.89133,0.8946,0.93042,0.7462,0.66336,0.50995,1.10965,0.005974,0.005974,0.005974
63,7835.67,0.7806,0.62616,1.18416,0.90755,0.88423,0.93721,0.74829,0.66404,0.43584,1.11312,0.005908,0.005908,0.005908
64,7960.01,0.7796,0.62903,1.1882,0.88115,0.90503,0.93484,0.74674,0.66315,0.42488,1.11029,0.005842,0.005842,0.005842
65,8084.29,0.78113,0.62967,1.18802,0.87802,0.91252,0.93498,0.74287,0.66873,0.42053,1.12866,0.005776,0.005776,0.005776
66,8210.51,0.77298,0.61457,1.18499,0.88742,0.91794,0.93826,0.75003,0.66134,0.41849,1.11708,0.00571,0.00571,0.00571
67,8333.8,0.7699,0.61406,1.17702,0.89972,0.8833,0.94107,0.74992,0.6683,0.42182,1.12404,0.005644,0.005644,0.005644
68,8457.45,0.75863,0.59429,1.17676,0.90832,0.87838,0.94386,0.75248,0.67266,0.41061,1.12546,0.005578,0.005578,0.005578
69,8581.44,0.75961,0.59193,1.1732,0.89293,0.89784,0.94325,0.75357,0.6632,0.41789,1.11665,0.005512,0.005512,0.005512
70,8705.62,0.75143,0.59376,1.16907,0.90885,0.88729,0.94576,0.75599,0.66218,0.41955,1.11192,0.005446,0.005446,0.005446
71,8829.96,0.75113,0.58696,1.16536,0.9158,0.88127,0.94289,0.74848,0.66671,0.43572,1.11776,0.00538,0.00538,0.00538
72,8954.08,0.75619,0.59238,1.16634,0.90545,0.90022,0.93957,0.75418,0.66204,0.42208,1.11805,0.005314,0.005314,0.005314
73,9077.64,0.74246,0.58445,1.16027,0.90331,0.8863,0.93381,0.74698,0.66208,0.42537,1.12585,0.005248,0.005248,0.005248
74,9201.58,0.73469,0.57674,1.15696,0.92041,0.88594,0.93849,0.7514,0.65699,0.4283,1.11643,0.005182,0.005182,0.005182
75,9324.55,0.72983,0.57722,1.15579,0.90467,0.90511,0.93423,0.74878,0.65756,0.42787,1.11191,0.005116,0.005116,0.005116
76,9449.23,0.72977,0.56842,1.15619,0.9155,0.88089,0.93943,0.75365,0.65777,0.41714,1.11699,0.00505,0.00505,0.00505
77,9572.33,0.72421,0.56735,1.15253,0.90155,0.90327,0.94439,0.7566,0.65131,0.42225,1.11031,0.004984,0.004984,0.004984
78,9696.35,0.73431,0.5708,1.15582,0.91049,0.90724,0.94557,0.75773,0.65633,0.44106,1.11019,0.004918,0.004918,0.004918
79,9820.86,0.72013,0.55929,1.14797,0.91358,0.91366,0.94801,0.7604,0.65814,0.40723,1.11763,0.004852,0.004852,0.004852
80,9945.67,0.71232,0.54432,1.1482,0.92273,0.89669,0.94488,0.76346,0.64941,0.4031,1.10569,0.004786,0.004786,0.004786
81,10069.6,0.71613,0.54764,1.144,0.92761,0.88637,0.94621,0.76372,0.65185,0.41084,1.11892,0.00472,0.00472,0.00472
82,10195.1,0.71213,0.5482,1.14644,0.92484,0.88859,0.94272,0.76077,0.65676,0.4143,1.12069,0.004654,0.004654,0.004654
83,10318.3,0.71767,0.54771,1.14792,0.91299,0.90457,0.94162,0.75998,0.64926,0.40761,1.10442,0.004588,0.004588,0.004588
84,10442.9,0.70623,0.54459,1.14159,0.92084,0.90836,0.94255,0.76119,0.64773,0.40921,1.10204,0.004522,0.004522,0.004522
85,10566.3,0.68801,0.52567,1.12748,0.92733,0.89755,0.94488,0.7651,0.64501,0.4051,1.10621,0.004456,0.004456,0.004456
86,10692.9,0.69672,0.52454,1.13169,0.92315,0.88818,0.94416,0.76483,0.64865,0.40558,1.10939,0.00439,0.00439,0.00439
87,10816.3,0.69658,0.52996,1.12874,0.91766,0.89352,0.94283,0.76158,0.65063,0.40678,1.11241,0.004324,0.004324,0.004324
88,10941.8,0.69273,0.51427,1.12906,0.90426,0.89904,0.94066,0.76211,0.64878,0.40748,1.11032,0.004258,0.004258,0.004258
89,11066.2,0.68879,0.51261,1.12971,0.90923,0.87343,0.93902,0.76074,0.64494,0.41135,1.10822,0.004192,0.004192,0.004192
90,11191.7,0.68636,0.50942,1.12497,0.90704,0.88721,0.94112,0.76164,0.64911,0.41072,1.11315,0.004126,0.004126,0.004126
91,11316.8,0.67675,0.50415,1.11855,0.90654,0.89119,0.94337,0.76567,0.64727,0.40793,1.11364,0.00406,0.00406,0.00406
